trip_no,start_date,end_date
465,2016-11-20 14:58:00,2016-11-20 15:07:00
466,2016-11-20 17:45:00,2016-11-20 18:37:00
467,2016-11-21 13:37:00,2016-11-21 13:49:00
468,2016-11-21 14:34:00,2016-11-21 14:44:00
469,2016-11-21 18:43:00,2016-11-21 18:51:00
470,2016-11-22 15:12:00,2016-11-22 15:27:00
471,2016-11-22 15:31:00,2016-11-22 15:44:00
472,2016-11-22 15:51:00,2016-11-22 16:43:00
473,2016-11-22 18:18:00,2016-11-22 18:28:00
474,2016-11-22 21:02:00,2016-11-22 21:14:00
475,2016-11-23 15:34:00,2016-11-23 15:50:00
476,2016-11-25 11:47:00,2016-11-25 12:04:00
477,2016-11-25 13:13:00,2016-11-25 13:31:00
478,2016-11-26 17:00:00,2016-11-26 17:12:00
479,2016-11-26 17:36:00,2016-11-26 17:56:00
480,2016-11-26 18:29:00,2016-11-26 19:04:00
481,2016-11-26 19:47:00,2016-11-26 19:54:00
482,2016-11-27 15:59:00,2016-11-27 16:06:00
483,2016-11-30 11:03:00,2016-11-30 11:34:00
484,2016-11-30 11:53:00,2016-11-30 12:35:00
485,2016-12-01 07:44:00,2016-12-01 07:59:00
486,2016-12-01 08:37:00,2016-12-01 08:53:00
487,2016-12-01 18:00:00,2016-12-01 18:12:00
488,2016-12-01 20:36:00,2016-12-01 20:46:00
489,2016-12-02 12:12:00,2016-12-02 12:23:00
490,2016-12-02 13:07:00,2016-12-02 13:22:00
491,2016-12-02 20:41:00,2016-12-02 20:48:00
492,2016-12-02 22:59:00,2016-12-02 23:07:00
493,2016-12-03 18:35:00,2016-12-03 18:56:00
494,2016-12-03 20:31:00,2016-12-03 20:41:00
495,2016-12-04 18:56:00,2016-12-04 19:03:00
